sequence,episode_id,split,environment_id,route_id,layout_id,duration_s,forward_m,left_m,obstacles,lighting,route_notes,confirmed
1,train_room_a_route01_layout01_001,train,room_a,route01,layout01,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
2,train_room_a_route01_layout02_002,train,room_a,route01,layout02,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
3,train_room_a_route01_layout03_003,train,room_a,route01,layout03,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
4,train_room_a_route01_layout04_004,train,room_a,route01,layout04,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
5,train_room_a_route01_layout05_005,train,room_a,route01,layout05,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
6,train_room_a_route01_layout06_006,train,room_a,route01,layout06,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
7,train_room_b_route01_layout01_007,train,room_b,route01,layout01,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
8,train_room_b_route01_layout02_008,train,room_b,route01,layout02,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
9,train_room_b_route01_layout03_009,train,room_b,route01,layout03,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
10,train_room_b_route01_layout04_010,train,room_b,route01,layout04,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
11,train_room_b_route01_layout05_011,train,room_b,route01,layout05,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
12,train_room_b_route01_layout06_012,train,room_b,route01,layout06,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
13,train_room_c_route01_layout01_013,train,room_c,route01,layout01,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
14,train_room_c_route01_layout02_014,train,room_c,route01,layout02,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
15,train_room_c_route01_layout03_015,train,room_c,route01,layout03,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
16,train_room_c_route01_layout04_016,train,room_c,route01,layout04,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
17,train_room_c_route01_layout05_017,train,room_c,route01,layout05,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
18,train_room_c_route01_layout06_018,train,room_c,route01,layout06,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
19,validation_corridor_a_route01_layout01_019,validation,corridor_a,route01,layout01,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
20,validation_corridor_a_route01_layout02_020,validation,corridor_a,route01,layout02,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
21,validation_corridor_a_route01_layout03_021,validation,corridor_a,route01,layout03,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
22,validation_corridor_b_route01_layout01_022,validation,corridor_b,route01,layout01,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
23,validation_corridor_b_route01_layout02_023,validation,corridor_b,route01,layout02,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
24,validation_corridor_b_route01_layout03_024,validation,corridor_b,route01,layout03,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
25,test_hall_a_route01_layout01_025,test,hall_a,route01,layout01,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
26,test_hall_a_route01_layout02_026,test,hall_a,route01,layout02,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
27,test_hall_a_route01_layout03_027,test,hall_a,route01,layout03,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
28,test_hall_b_route01_layout01_028,test,hall_b,route01,layout01,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
29,test_hall_b_route01_layout02_029,test,hall_b,route01,layout02,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
30,test_hall_b_route01_layout03_030,test,hall_b,route01,layout03,60,3.0,0.0,REPLACE with measured obstacle description,REPLACE with lighting description,REPLACE with start goal clearance and route notes,false
